Altium Designer Pick and Place Locations
C:\Users\Ruben\Documents\Git\Marble-Station-ESP32\pcb\Altium Designer\Master_Screen\V2.00\Ouput\Fabrication\Pick Place\Pick Place for PCB_Master_Screen_V2.00.txt

========================================================================================================================
File Design Information:

Date:       26.12.25
Time:       21:15
Revision:   7aa9f87b31deee1d2fecf6abc98a0a85b1d0c78e
Variant:    No variations
Units used: mil

Designator Comment             Layer       Footprint             Center-X(mil) Center-Y(mil) Rotation Description                                                                                                
U?         ESP32-WROOM-32      TopLayer    MODULE_ESP32-WROOM-32 2115.354      1940.315      0        "Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module U.FL Surface Mount" 
SW3        2-1825910-7         TopLayer    SW_2-1825910-7        4220.000      600.000       90       "Button 6mm x 6mm"                                                                                         
SW2        2-1825910-7         TopLayer    SW_2-1825910-7        4225.000      1810.000      90       "Button 6mm x 6mm"                                                                                         
R12        10K                 TopLayer    RES1206               1155.000      1330.000      90       "Resistor 1206"                                                                                            
R11        10K                 TopLayer    RES1206               960.000       1550.000      90       "Resistor 1206"                                                                                            
R10        10K                 TopLayer    RES1206               2420.000      1285.000      180      "Resistor 1206"                                                                                            
R9         10K                 TopLayer    RES1206               1525.000      2100.000      180      "Resistor 1206"                                                                                            
Q2         MMBT3904            TopLayer    TRANS_MMBT3904        1145.000      1565.000      90       "TRANS NPN 40V 0.2A SOT23-3"                                                                               
Q1         MMBT3904            TopLayer    TRANS_MMBT3904        962.244       1330.000      180      "TRANS NPN 40V 0.2A SOT23-3"                                                                               
C20        100nF               TopLayer    CAP0805               842.598       595.000       0        "Capacitor 0805"                                                                                           
C19        47uF                TopLayer    CAP0805               840.000       510.000       0        "Capacitor 0805"                                                                                           
C18        100nF               TopLayer    CAP0805               1435.000      2227.598      90       "Capacitor 0805"                                                                                           
C17        22uF                TopLayer    CAP0805               1520.000      2227.598      90       "Capacitor 0805"                                                                                           
C16        47uF                TopLayer    CAP0805               1605.000      2227.598      90       "Capacitor 0805"                                                                                           
C15        100nF               TopLayer    CAP0805               1425.000      1700.000      180      "Capacitor 0805"                                                                                           
R8         10K                 TopLayer    RES1206               1575.000      750.000       180      "Resistor 1206"                                                                                            
R7         44.2K               TopLayer    RES1206               1575.000      870.000       0        "Resistor 1206"                                                                                            
R6         6.8K                TopLayer    RES1206               1520.000      1025.000      270      "Resistor 1206"                                                                                            
R5         100K                TopLayer    RES1206               1025.000      745.000       270      "Resistor 1206"                                                                                            
R4         1M                  TopLayer    RES1206               3715.000      2080.000      180      "Resistor 1206"                                                                                            
R3         5.1K                TopLayer    RES1206               3370.000      1915.000      180      "Resistor 1206"                                                                                            
R2         5.1K                TopLayer    RES1206               2995.000      2090.000      270      "Resistor 1206"                                                                                            
