Altium Designer Pick and Place Locations
C:\Users\Ruben\Documents\Git\Marble-Station-ESP32\pcb\Altium\Master_Screen\Prj_Master_Screen\Output Job\Fabrication\Pick Place\Pick Place for PCB_Master_Screen.txt

========================================================================================================================
File Design Information:

Date:       16.11.25
Time:       01:15
Revision:   607fe52db6655f8eefb2f574658836418f3dd37a
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint                Center-X(mil) Center-Y(mil) Rotation Description                                                                                              
J2         SK12D07VG4         TopLayer    SK12D07VG4               2626.260      3005.000      180      "Slide Switches - Side Knob"                                                                             
DS1        "Green LED"        TopLayer    LUMX-SML-LX1206IC_V      4285.000      2420.000      180      "LED Red, 65 mW, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"                                         
DS4        "Green LED"        TopLayer    LUMX-SML-LX1206IC_V      2630.000      2515.000      180      "LED Red, 65 mW, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"                                         
DS2        "Red LED"          TopLayer    LUMX-SML-LX1206IC_V      4285.000      2650.000      180      "LED Red, 65 mW, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"                                         
R10        330R               TopLayer    FP-RC1206-MFG            2630.000      2685.000      270      "RES SMD 0 OHM JUMPER 1/4W 1206"                                                                         
C14        10uF               TopLayer    FP-CC0805-0_85-MFG       3580.000      2650.000      90       "CAP CER 0.1UF 16V X7R 0805"                                                                             
C13        100nF              TopLayer    FP-CC0805-0_85-MFG       3675.000      2650.000      270      "CAP CER 0.1UF 16V X7R 0805"                                                                             
C12        10uF               TopLayer    FP-CC0805-0_85-MFG       2030.000      1255.000      180      "CAP CER 0.1UF 16V X7R 0805"                                                                             
C11        100nF              TopLayer    FP-CC0805-0_85-MFG       2030.000      1155.000      0        "CAP CER 0.1UF 16V X7R 0805"                                                                             
C10        100nF              TopLayer    FP-CC0805-0_85-MFG       2915.000      3045.000      180      "CAP CER 0.1UF 16V X7R 0805"                                                                             
C9         10uF               TopLayer    FP-CC0805-0_85-MFG       2915.000      2945.000      0        "CAP CER 0.1UF 16V X7R 0805"                                                                             
J1         ST7735             TopLayer    ST7735                   2175.000      890.000       270      "1.8 inches 128x160 RGB TFT LCD - ST7735 DRIVER"                                                         
U3         ESP32-DEVKIT-V1    TopLayer    MODULE_ESP32_DEVKIT_V1   1015.000      2320.000      90       "ESP32-DEVKIT-V1 30 Pins"                                                                                
